车辆ID,日期,油耗,标记,车牌
50005096,2015/11/6,89.03,H,26114
50005086,2015/11/6,56.56,M,26115
50005013,2015/11/6,0,L,26116
50005098,2015/11/6,50,M,26117
50005102,2015/11/6,0,M,26118
50005020,2015/11/6,40,L,26119
50005099,2015/11/6,40,L,26120
50005084,2015/11/6,0,L,26121
50005093,2015/11/6,53,M,26122
50005097,2015/11/6,94.56,H,26123
50005111,2015/11/6,47.59,M,26124
50005021,2015/11/6,57.2,M,26125
50005095,2015/11/6,50,M,26126
50005088,2015/11/6,60,M,26127
50005017,2015/11/6,78.68,H,26128
50005087,2015/11/6,47.01,L,26129
50005014,2015/11/6,55,M,26130
50005023,2015/11/6,93.72,H,26131
50005091,2015/11/6,49.99,M,26132
50005105,2015/11/6,71.78,H,26133
50005100,2015/11/6,59.86,M,26134
50005085,2015/11/6,0,L,26135
50005016,2015/11/6,0,L,26136
50005109,2015/11/6,68.94,H,26137
50005089,2015/11/6,88.01,H,26138
50005090,2015/11/7,0,L,26111
50005106,2015/11/7,0,L,26112
50005018,2015/11/7,45,L,26113
50005096,2015/11/7,67.78,M,26114
50005086,2015/11/7,51.64,M,26115
50005013,2015/11/7,92.02,H,26116
50005098,2015/11/7,53.44,M,26117
50005102,2015/11/7,88.89,H,26118
50005020,2015/11/7,50,L,26119
50005099,2015/11/7,45.15,L,26120
50005084,2015/11/7,100.03,H,26121
50005093,2015/11/7,51.82,M,26122
50005097,2015/11/7,47.8,L,26123
50005111,2015/11/7,82.83,H,26124
50005021,2015/11/7,0,L,26125
50005095,2015/11/7,60,M,26126
50005088,2015/11/7,52.46,M,26127
50005017,2015/11/7,71.67,M,26128
50005087,2015/11/7,58.95,M,26129
50005014,2015/11/7,55.84,M,26130
50005023,2015/11/7,84.2,H,26131
50005091,2015/11/7,59.98,M,26132
50005105,2015/11/7,76.02,M,26133
50005100,2015/11/7,78.01,H,26134
50005085,2015/11/7,88.89,H,26135
50005016,2015/11/7,98,H,26136
50005109,2015/11/7,0,L,26137
50005089,2015/11/7,69.71,M,26138
50005090,2015/11/8,89.73,H,26111
50005106,2015/11/8,79.03,H,26112
50005018,2015/11/8,53.21,M,26113
50005096,2015/11/8,0,L,26114
50005086,2015/11/8,56.9,M,26115
50005013,2015/11/8,59,M,26116
50005098,2015/11/8,54.99,M,26117
50005102,2015/11/8,63.17,H,26118
50005020,2015/11/8,40.18,M,26119
50005099,2015/11/8,49.97,M,26120
50005084,2015/11/8,64.87,H,26121
50005093,2015/11/8,50,M,26122
50005097,2015/11/8,66.45,H,26123
50005111,2015/11/8,0,L,26124
50005021,2015/11/8,90.24,H,26125
50005095,2015/11/8,50,M,26126
50005088,2015/11/8,72.35,H,26127
50005017,2015/11/8,0,L,26128
50005087,2015/11/8,52.05,M,26129
50005014,2015/11/8,49.81,M,26130
50005023,2015/11/8,0,L,26131
50005091,2015/11/8,54.03,M,26132
50005105,2015/11/8,0,L,26133
50005100,2015/11/8,0,L,26134
50005085,2015/11/8,0,L,26135
50005016,2015/11/8,0,L,26136
50005109,2015/11/8,91.33,H,26137
50005089,2015/11/8,0,L,26138
50005090,2015/11/9,55.27,M,26111
50005106,2015/11/9,52.05,M,26112
50005018,2015/11/9,50,M,26113
50005096,2015/11/9,85.17,H,26114
50005086,2015/11/9,46.76,L,26115
50005013,2015/11/9,0,L,26116
50005098,2015/11/9,51.34,M,26117
50005102,2015/11/9,0,L,26118
50005020,2015/11/9,60.06,M,26119
50005099,2015/11/9,50.06,M,26120
50005084,2015/11/9,0,L,26121
50005093,2015/11/9,51.2,M,26122
50005097,2015/11/9,48.18,L,26123
50005111,2015/11/9,81.19,H,26124
50005021,2015/11/9,67.36,M,26125
50005095,2015/11/9,50,M,26126
50005088,2015/11/9,0,L,26127
50005017,2015/11/9,56.38,M,26128
50005087,2015/11/9,60,M,26129
50005014,2015/11/9,40.17,L,26130
50005023,2015/11/9,80.02,H,26131
50005091,2015/11/9,49.99,L,26132
50005105,2015/11/9,97.67,H,26133
50005100,2015/11/9,62.01,M,26134
50005085,2015/11/9,85.49,H,26135
50005016,2015/11/9,90.74,H,26136
50005109,2015/11/9,69.96,H,26137
50005089,2015/11/9,87.39,H,26138
50005090,2015/11/10,53.09,M,26111
50005106,2015/11/10,56.03,M,26112
50005018,2015/11/10,50,M,26113
50005096,2015/11/10,75.5,H,26114
50005086,2015/11/10,57.39,M,26115
50005013,2015/11/10,101.62,H,26116
50005098,2015/11/10,50,M,26117
50005102,2015/11/10,98.32,H,26118
50005020,2015/11/10,55.99,M,26119
50005099,2015/11/10,50,M,26120
50005084,2015/11/10,86.82,H,26121
50005093,2015/11/10,50.09,M,26122
50005097,2015/11/10,50,M,26123
50005111,2015/11/10,0,L,26124
50005021,2015/11/10,0,L,26125
50005095,2015/11/10,50,M,26126
50005088,2015/11/10,60.03,M,26127
50005017,2015/11/10,80.17,H,26128
50005087,2015/11/10,45,L,26129
50005014,2015/11/10,70.06,H,26130
50005023,2015/11/10,72.46,H,26131
50005091,2015/11/10,55,M,26132
50005105,2015/11/10,80.05,H,26133
50005100,2015/11/10,0,L,26134
50005085,2015/11/10,0,L,26135
50005016,2015/11/10,0,L,26136
50005109,2015/11/10,0,L,26137
50005089,2015/11/10,0,L,26138
50005090,2015/11/11,0,L,26111
50005106,2015/11/11,0,L,26112
50005018,2015/11/11,50,M,26113
50005096,2015/11/11,0,L,26114
50005086,2015/11/11,43.71,M,26115
50005013,2015/11/11,0,L,26116
50005098,2015/11/11,60.01,M,26117
50005102,2015/11/11,0,L,26118
50005020,2015/11/11,0,L,26119
50005099,2015/11/11,50,M,26120
50005084,2015/11/11,82.63,H,26121
50005093,2015/11/11,53.22,M,26122
50005097,2015/11/11,63.47,M,26123
50005111,2015/11/11,89.85,H,26124
50005021,2015/11/11,88.29,H,26125
50005095,2015/11/11,60,M,26126
50005088,2015/11/11,60.04,M,26127
50005017,2015/11/11,29.91,M,26128
50005087,2015/11/11,62,M,26129
50005014,2015/11/11,40.11,M,26130
50005023,2015/11/11,0,L,26131
50005091,2015/11/11,73.02,H,26132
50005105,2015/11/11,0,L,26133
50005100,2015/11/11,59.14,M,26134
50005085,2015/11/11,78.07,H,26135
50005016,2015/11/11,93.1,H,26136
50005109,2015/11/11,74.68,H,26137
50005089,2015/11/11,96.72,H,26138
50005090,2015/11/12,96.05,H,26111
50005106,2015/11/12,83.02,H,26112
50005018,2015/11/12,50,M,26113
50005096,2015/11/12,95.01,H,26114
50005086,2015/11/12,59.47,M,26115
50005013,2015/11/12,85.36,H,26116
50005098,2015/11/12,50,M,26117
50005102,2015/11/12,0,L,26118
50005020,2015/11/12,42.12,L,26119
50005099,2015/11/12,50,M,26120
50005084,2015/11/12,0,L,26121
50005093,2015/11/12,50,M,26122
50005097,2015/11/12,0,L,26123
50005111,2015/11/12,0,L,26124
50005021,2015/11/12,58.85,M,26125
50005095,2015/11/12,50,L,26126
